,name,l,m,mutdelt,statpar,eps,eps_std,name,l,m,mutdelt,statpar,eps,eps_std
0,noaff,0.0,0.0,0.09999999999999998,0.24,0.08750000000000002,0.03960744879438715,post,0.0,0.0,0.09000000000000008,0.06,0.2725,0.07854139036202502
1,noaff,0.0,0.25,0.09999999999999987,0.23,0.09,0.032403703492039325,post,0.0,0.25,0.14,0.02,0.2075,0.07495832175282473
2,noaff,0.0,0.5,0.09999999999999987,0.22,0.1225,0.03561951712193755,post,0.0,0.5,0.09999999999999998,0.03,0.18,0.04062019202317982
3,noaff,0.0,0.75,0.11999999999999983,0.22,0.16000000000000003,0.062048368229954284,post,0.0,0.75,0.09000000000000008,0.03,0.255,0.02692582403567248
4,noaff,0.0,1.0,0.09999999999999987,0.23,0.165,0.09420721840708383,post,0.0,1.0,0.10999999999999999,0.04,0.15250000000000002,0.02861380785564902
5,noaff,0.25,0.0,0.14999999999999986,0.19,0.09,0.0374165738677394,post,0.25,0.0,0.09000000000000002,0.01,0.1125,0.049686517285879465
6,noaff,0.25,0.25,0.14000000000000007,0.24,0.10249999999999998,0.04493050188902851,post,0.25,0.25,0.03999999999999998,0.04,0.1575,0.0641774882649672
7,noaff,0.25,0.5,0.10999999999999993,0.24,0.09749999999999998,0.01299038105676659,post,0.25,0.5,0.10999999999999993,0.03,0.15499999999999997,0.0680073525436772
8,noaff,0.25,0.75,0.1200000000000001,0.23,0.08249999999999999,0.04710360920354193,post,0.25,0.75,0.07,0.06,0.19,0.085146931829632
9,noaff,0.25,1.0,0.09000000000000008,0.22,0.07749999999999999,0.07980444849756183,post,0.25,1.0,0.04999999999999999,0.04,0.13000000000000003,0.06041522986797287
10,noaff,0.5,0.0,0.14,0.23,0.06250000000000003,0.059319052588523366,post,0.5,0.0,0.09000000000000008,0.05,0.2,0.06892024376045107
11,noaff,0.5,0.25,0.08000000000000007,0.2,0.07999999999999999,0.029154759474226518,post,0.5,0.25,0.1200000000000001,0.05,0.11499999999999998,0.0610327780786685
12,noaff,0.5,0.5,0.13000000000000006,0.22,0.03249999999999997,0.019202864369671488,post,0.5,0.5,0.10000000000000009,0.07,0.135,0.0683739716558867
13,noaff,0.5,0.75,0.11000000000000004,0.26,0.06999999999999998,0.047434164902525645,post,0.5,0.75,0.08000000000000007,0.02,0.16499999999999998,0.06800735254367721
14,noaff,0.5,1.0,0.19999999999999996,0.22,0.1325,0.09093266739736607,post,0.5,1.0,0.050000000000000044,0.04,0.08499999999999998,0.054083269131959835
15,noaff,0.75,0.0,0.10000000000000003,0.21,0.0875,0.06796138609534096,post,0.75,0.0,0.07000000000000006,0.02,0.20750000000000002,0.06299801584177078
16,noaff,0.75,0.25,0.18,0.22,0.08249999999999999,0.03561951712193751,post,0.75,0.25,0.1499999999999999,0.07,0.15000000000000002,0.025495097567963927
17,noaff,0.75,0.5,0.13000000000000012,0.24,0.057499999999999996,0.032691742076555036,post,0.75,0.5,0.06999999999999984,0.04,0.11750000000000002,0.05402545696243576
18,noaff,0.75,0.75,0.20000000000000012,0.25,0.04999999999999999,0.03807886552931955,post,0.75,0.75,0.0799999999999999,0.05,0.10500000000000001,0.05220153254455271
19,noaff,0.75,1.0,0.13,0.21,0.04250000000000001,0.03491060010942234,post,0.75,1.0,0.12,0.04,0.11750000000000002,0.044370598373247104
20,noaff,1.0,0.0,0.19,0.2,0.07,0.015811388300841892,post,1.0,0.0,0.13999999999999996,0.05,0.07250000000000001,0.022776083947860713
21,noaff,1.0,0.25,0.15999999999999986,0.2,0.04249999999999998,0.022776083947860737,post,1.0,0.25,0.15000000000000002,0.03,0.07250000000000002,0.03269174207655506
22,noaff,1.0,0.5,0.12,0.23,0.08499999999999999,0.08616843969807049,post,1.0,0.5,0.11999999999999994,0.03,0.10750000000000001,0.025860201081971502
23,noaff,1.0,0.75,0.19,0.2,0.06999999999999998,0.028284271247461888,post,1.0,0.75,0.10999999999999993,0.07,0.1325,0.03418698582794339
24,noaff,1.0,1.0,0.1600000000000001,0.23,0.05749999999999994,0.014790199457749053,post,1.0,1.0,0.10999999999999993,0.05,0.07250000000000001,0.05494315243958976
